Reach to Deadlock States:
----------------------------------------------------------------------
| No. | State       | Previous State | Transition           |
| 279 | (9, 2, 1, 3) | (8, 1, 0, 2) | t(4,3)               |
| 280 | (9, 2, 1, 4) | (8, 2, 0, 3) | t(4,4)               |
| 281 | (9, 2, 2, 3) | (8, 2, 1, 2) | t(4,3)               |
| 282 | (9, 3, 1, 3) | (9, 3, 0, 2) | t(4,3)               |
| 283 | (9, 3, 1, 4) | (9, 3, 0, 3) | t(4,4)               |
| 284 | (9, 3, 2, 3) | (9, 3, 1, 2) | t(4,3)               |
| 285 | (9, 3, 2, 4) | (9, 3, 1, 3) | t(4,4)               |
| 286 | (10, 2, 1, 3) | (9, 1, 0, 2) | t(4,3)               |
| 287 | (10, 2, 1, 4) | (9, 1, 0, 3) | t(4,4)               |
| 288 | (10, 2, 2, 3) | (9, 1, 1, 2) | t(4,3)               |
| 289 | (10, 3, 1, 3) | (9, 2, 0, 2) | t(4,3)               |
| 290 | (10, 3, 1, 4) | (9, 2, 0, 3) | t(4,4)               |
| 291 | (10, 3, 2, 3) | (9, 2, 1, 2) | t(4,3)               |
| 292 | (10, 3, 2, 4) | (9, 2, 1, 3) | t(4,4)               |
| 293 | (10, 3, 2, 5) | (9, 2, 1, 4) | t(4,5)               |
| 294 | (10, 3, 3, 4) | (9, 2, 2, 3) | t(4,4)               |
| 295 | (10, 4, 2, 4) | (10, 4, 1, 3) | t(4,4)               |
| 296 | (10, 4, 2, 5) | (10, 4, 1, 4) | t(4,5)               |
| 297 | (10, 4, 3, 4) | (10, 4, 2, 3) | t(4,4)               |
| 298 | (10, 4, 3, 5) | (10, 4, 2, 4) | t(4,5)               |
| 299 | (0, 3, 2, 4) | (10, 2, 1, 3) | t(4,4)               |
| 300 | (0, 3, 2, 5) | (10, 2, 1, 4) | t(4,5)               |
| 301 | (0, 3, 3, 4) | (10, 2, 2, 3) | t(4,4)               |
| 302 | (0, 4, 2, 4) | (10, 3, 1, 3) | t(4,4)               |
| 303 | (0, 4, 2, 5) | (10, 3, 1, 4) | t(4,5)               |
| 304 | (0, 4, 3, 4) | (10, 3, 2, 3) | t(4,4)               |
| 305 | (0, 4, 3, 5) | (10, 3, 2, 4) | t(4,5)               |
| 306 | (0, 4, 3, 0) | (10, 3, 2, 5) | t(4,0)               |
| 307 | (0, 4, 4, 5) | (10, 3, 3, 4) | t(4,5)               |
| 308 | (0, 5, 3, 5) | (0, 5, 2, 4) | t(4,5)               |
| 309 | (0, 5, 3, 0) | (0, 5, 2, 5) | t(4,0)               |
| 310 | (0, 5, 4, 5) | (0, 5, 3, 4) | t(4,5)               |
| 311 | (0, 5, 4, 0) | (0, 5, 3, 5) | t(4,0)               |
| 312 | (1, 4, 3, 5) | (0, 3, 2, 4) | t(4,5)               |
| 313 | (1, 4, 3, 0) | (0, 3, 2, 5) | t(4,0)               |
| 314 | (1, 4, 4, 5) | (0, 3, 3, 4) | t(4,5)               |
| 315 | (1, 5, 3, 5) | (0, 4, 2, 4) | t(4,5)               |
| 316 | (1, 5, 3, 0) | (0, 4, 2, 5) | t(4,0)               |
| 317 | (1, 5, 4, 5) | (0, 4, 3, 4) | t(4,5)               |
| 318 | (1, 5, 4, 0) | (0, 4, 3, 5) | t(4,0)               |
| 319 | (1, 5, 4, 1) | (0, 4, 3, 0) | t(4,1)               |
| 320 | (1, 5, 5, 0) | (0, 4, 4, 5) | t(4,0)               |
| 321 | (1, 6, 4, 0) | (1, 6, 3, 5) | t(4,0)               |
| 322 | (1, 6, 4, 1) | (1, 6, 3, 0) | t(4,1)               |
| 323 | (1, 6, 5, 0) | (1, 6, 4, 5) | t(4,0)               |
| 324 | (1, 6, 5, 1) | (1, 6, 4, 0) | t(4,1)               |
| 325 | (2, 5, 4, 0) | (1, 4, 3, 5) | t(4,0)               |
| 326 | (2, 5, 4, 1) | (2, 5, 3, 1) | t(3,4)               |
| 327 | (2, 5, 5, 0) | (1, 4, 4, 5) | t(4,0)               |
| 328 | (2, 6, 4, 0) | (1, 5, 3, 5) | t(4,0)               |
| 329 | (2, 6, 4, 1) | (1, 5, 3, 0) | t(4,1)               |
| 330 | (2, 6, 5, 0) | (1, 5, 4, 5) | t(4,0)               |
| 331 | (2, 6, 5, 1) | (1, 5, 4, 0) | t(4,1)               |
| 332 | (2, 6, 5, 2) | (1, 5, 4, 1) | t(4,2)               |
| 333 | (2, 6, 0, 1) | (1, 5, 5, 0) | t(4,1)               |
